Gene_model,Chromosome,Interval,Annotations_clean,IPR_terms,GO_terms
Glyma.01G020900,Gm01,2155882-2160823,"cinnamyl alcohol dehydrogenase 6 -binding domain),",IPR002085;IPR016040;IPR020843,GO:0008270;GO:0016491;GO:0055114
Glyma.01G021000,Gm01,2173585-2176641,"cinnamyl alcohol dehydrogenase 6 -binding domain),",IPR002085;IPR016040;IPR020843,GO:0008270;GO:0016491;GO:0055114
Glyma.01G021100,Gm01,2191513-2193105,dof zinc finger protein DOF5.7-like [Glycine max];,IPR003851,GO:0003677
Glyma.01G021200,Gm01,2199743-2206231,ATP binding microtubule motor family protein,IPR001752;IPR021720;IPR027417;IPR027640,GO:0003777;GO:0005524;GO:0005871;GO:0007018;GO:0008017
Glyma.01G021302,Gm01,2210633-2215066,probable glycosyltransferase At5g03795-like [Glycine max];,IPR004263,NA
Glyma.01G021400,Gm01,2219205-2227532,RNA-binding KH domain-containing protein;,IPR004087,GO:0003723
Glyma.01G021450,Gm01,2234500-2238318,Pentatricopeptide repeat (PPR) superfamily protein,IPR002885;IPR011990,GO:0005515
Glyma.01G021600,Gm01,2240964-2245492,mediator of RNA polymerase II transcription subunit 15a-like isoform X1 [Glycine max];,IPR006565,NA
Glyma.01G021700,Gm01,2248881-2251202,UDP-Glycosyltransferase superfamily protein;,IPR002213,GO:0008152
Glyma.01G022100,Gm01,2261789-2262636,histone H2A 2,IPR009072,GO:0000786;GO:0003677;GO:0005634;GO:0006334;GO:0046982
Glyma.01G022300,Gm01,2266538-2268577,UDP-Glycosyltransferase superfamily protein;,IPR002213,GO:0008152
Glyma.01G022400,Gm01,2284403-2289870,Protein kinase superfamily protein,IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G022500,Gm01,2294665-2300034,AP2-like ethylene-responsive transcription factor AIL6-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.01G022600,Gm01,2329804-2338609,protein kinase family protein,IPR011009;IPR013083,GO:0000151;GO:0004672;GO:0004842;GO:0005524;GO:0006468;GO:0016567
Glyma.01G022700,Gm01,2336030-2341850,nucleobase-ascorbate transporter 12,IPR006043,GO:0005215;GO:0006810;GO:0016020;GO:0055085
Glyma.01G022800,Gm01,2346771-2353294,SGT1-plant-like protein;,IPR010770,NA
Glyma.01G022900,Gm01,2351610-2357033,Kinase interacting (KIP1-like) family protein;,IPR011684,NA
Glyma.01G023000,Gm01,2362919-2365990,uncharacterized protein LOC102669532 isoform X3 [Glycine max],NA,NA
Glyma.01G023100,Gm01,2376213-2379641,uncharacterized protein At4g38062-like [Glycine max],NA,NA
Glyma.01G023200,Gm01,2380085-2387818,Mechanosensitive ion channel protein domain),IPR006685;IPR010920,GO:0016020;GO:0055085
Glyma.01G023250,Gm01,2389031-2389402,Unknown protein,NA,NA
Glyma.01G023300,Gm01,2391757-2396788,uncharacterized protein At1g04910-like isoform X1 [Glycine max];,IPR019378,NA
Glyma.01G023500,Gm01,2415821-2422023,MADS-box transcription factor 6 [Glycine max],IPR002100;IPR002487,GO:0003677;GO:0003700;GO:0005634;GO:0046983
Glyma.01G023600,Gm01,2429386-2451071,kinesin-4-like isoform X2 [Glycine max],IPR001752;IPR027417;IPR027640,GO:0003777;GO:0005524;GO:0005871;GO:0007018;GO:0008017
Glyma.01G023700,Gm01,2453626-2463394,GPI ethanolamine phosphate transferase,IPR002591,GO:0003824;GO:0008152
Glyma.01G023767,Gm01,2475040-2477932,Chaperone DnaJ-domain superfamily protein;,IPR001623,NA
Glyma.01G023833,Gm01,2480371-2481953,transcription factor bHLH131-like [Glycine max]; domain);,IPR011598,GO:0046983
Glyma.01G023900,Gm01,2482108-2491459,ubiquitin carboxyl-terminal hydrolase 17-like [Glycine max],IPR002893;IPR028889,GO:0006511
Glyma.01G024000,Gm01,2504383-2506429,Mitochondrial substrate carrier family protein,IPR002067;IPR023395,GO:0055085
Glyma.01G024100,Gm01,2511441-2513857,zinc finger MYM-type protein 1-like [Glycine max]; ,IPR006580;IPR012337;IPR025398,GO:0003676
Glyma.01G024200,Gm01,2519589-2522414,protein BREVIS RADIX-like isoform X3 [Glycine max]; domain),IPR013591,NA
Glyma.01G024300,Gm01,2532814-2535198,exocyst complex component EXO70B1-like isoform X2 [Glycine max],NA,NA
Glyma.01G024500,Gm01,2550033-2553220,"transmembrane protein, putative",NA,NA
Glyma.01G024600,Gm01,2552349-2554288,thylakoid membrane phosphoprotein 14 kDa protein;,IPR025564,NA
Glyma.01G024700,Gm01,2576825-2579542,cyclin-D4-1-like [Glycine max],IPR015451,GO:0005634;GO:0007049
Glyma.01G024800,Gm01,2585139-2592555,phosphofructokinase 5,IPR000023;IPR012004;IPR022953,GO:0003872;GO:0005524;GO:0005945;GO:0006002;GO:0006096
Glyma.01G024900,Gm01,2598030-2599465,uncharacterized protein LOC102669053 [Glycine max],NA,NA
Glyma.01G025000,Gm01,2604543-2607949,ZF-HD homeobox protein At4g24660-like [Glycine max],IPR006456;IPR009057,GO:0003677
Glyma.01G025100,Gm01,2648552-2649785,Unknown protein,NA,NA
Glyma.01G025200,Gm01,2663561-2668439,MATE efflux family protein,IPR002528,GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085
Glyma.01G025300,Gm01,2693795-2698351,BTB/POZ domain-containing protein [Glycine max],IPR011333;IPR027356,NA
Glyma.01G025400,Gm01,2729271-2730889,ethylene-responsive transcription factor 12-like [Glycine max],IPR016177,GO:0003677;GO:0003700
Glyma.01G025500,Gm01,2745063-2747552,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,IPR005123;IPR026992;IPR027443,GO:0016491;GO:0055114
Glyma.01G025600,Gm01,2748317-2751687,probable leucine-rich repeat receptor-like protein kinase At1g35710-like [Glycine max],IPR001611;IPR003591,GO:0005515
Glyma.01G025701,Gm01,2759038-2760393,Unknown protein,NA,NA
Glyma.01G025800,Gm01,2760394-2761465,Octicosapeptide/Phox/Bem1p family protein;,IPR000270,GO:0005515
Glyma.01G025900,Gm01,2777374-2778147,"Nucleotide-diphospho-sugar transferase family protein, putative n=1 Tax=Theobroma cacao RepID=UPI00042B7659;",IPR025322,NA
Glyma.01G026000,Gm01,2778654-2787062,ABC transporter family protein (ATP-binding component),IPR011527;IPR027417,GO:0000166;GO:0005524;GO:0006810;GO:0016021;GO:0016887;GO:0017111;GO:0055085
Glyma.01G026100,Gm01,2788600-2790831,60S ribosomal protein L27a-3-like [Glycine max],IPR021131,GO:0003735;GO:0005622;GO:0005840;GO:0006412
Glyma.01G026200,Gm01,2793642-2801558,MATE efflux family protein,IPR002528,GO:0006855;GO:0015238;GO:0015297;GO:0016020;GO:0055085
Glyma.01G026400,Gm01,2811594-2814083,armadillo repeat only 4,IPR016024,GO:0005488;GO:0005515
Glyma.01G026500,Gm01,2814474-2817769,Sel1 repeat protein,IPR001810;IPR011990,GO:0005515
Glyma.01G026600,Gm01,2827724-2828869,unknown protein,NA,NA
Glyma.01G026700,Gm01,2847139-2854710,alanine aminotransferase 2; ,IPR015424,GO:0003824;GO:0009058;GO:0030170
Glyma.01G026800,Gm01,2865399-2869771,ribose-phosphate pyrophosphokinase;,IPR000836,GO:0009116
Glyma.01G027000,Gm01,2882621-2884861,peroxidase 37-like [Glycine max],IPR010255,GO:0004601;GO:0006979;GO:0020037;GO:0055114
Glyma.01G027100,Gm01,2887789-2892896,Protein kinase superfamily protein,IPR011009;IPR013320;IPR018392,GO:0004672;GO:0004674;GO:0005524;GO:0006468;GO:0016998
Glyma.01G027300,Gm01,2898396-2903255,Clathrin adaptor complexes medium subunit family protein,IPR001392;IPR028565,GO:0005515;GO:0006810;GO:0006886;GO:0016192;GO:0030131
Glyma.01G027400,Gm01,2905550-2909489,tryptophan aminotransferase related 1; ,IPR015424,GO:0003824;GO:0016846;GO:0030170
Glyma.01G027433,Gm01,2914472-2915529,alpha/beta-Hydrolases superfamily protein,NA,NA
Glyma.01G027500,Gm01,2920003-2923464,alpha/beta-Hydrolases superfamily protein,NA,NA
Glyma.01G027600,Gm01,2930210-2933908,TLD-domain containing nucleolar protein;,IPR006571,NA
Glyma.01G027700,Gm01,2935101-2936972,uncharacterized protein LOC100815108 isoform X2 [Glycine max];,IPR027973,NA
Glyma.01G027800,Gm01,2941600-2946439,Protein of Unknown Function (DUF239),IPR004314;IPR025521,NA
Glyma.01G027900,Gm01,2957370-2961491,polygalacturonase 4; ,IPR000743;IPR011050,GO:0004650;GO:0005975
Glyma.01G027967,Gm01,2969398-2970627,cysteine-rich receptor-like protein kinase 3-like [Glycine max];,IPR002902,NA
Glyma.01G028033,Gm01,2971428-2971861,receptor kinase 2,IPR011009,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G028100,Gm01,2975107-2980449,receptor kinase 2,IPR002902;IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G028200,Gm01,2980852-2984406,Demethylmenaquinone methyltransferase n=2 Tax=Cyanothece RepID=B7K3W5_CYAP8,IPR004033;IPR023576,GO:0008168
Glyma.01G028300,Gm01,2992086-3003468,homeobox protein knotted-1-like 6-like [Glycine max],IPR005539;IPR005540;IPR005541;IPR009057,GO:0003677;GO:0003700;GO:0005634;GO:0043565
Glyma.01G028500,Gm01,3046655-3047393,Early nodulin-36A n=2 Tax=Glycine max RepID=NO36A_SOYBN,NA,NA
Glyma.01G028600,Gm01,3048246-3053458,protein YLS7-like [Glycine max],IPR025846;IPR026057,NA
Glyma.01G028700,Gm01,3060021-3066612,receptor-like protein kinase 1,IPR011009;IPR013210;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G028800,Gm01,3082180-3084513,Kelch repeat-containing F-box family protein,IPR001810;IPR015916,GO:0005515
Glyma.01G028900,Gm01,3106110-3110453,ATP-citrate lyase A-1,IPR013650;IPR016102,GO:0005524
Glyma.01G029000,Gm01,3125582-3128382,signal recognition particle receptor subunit beta,IPR019009;IPR024156;IPR027417,GO:0005525;GO:0005622;GO:0007264
Glyma.01G029100,Gm01,3130123-3136294,uncharacterized protein LOC100815819 isoform X1 [Glycine max],NA,NA
Glyma.01G029200,Gm01,3144746-3146989,ubiquitin 6,IPR000626;IPR011332;IPR019956,GO:0003735;GO:0005515;GO:0005622;GO:0005840;GO:0006412
Glyma.01G029300,Gm01,3153132-3155611,axial regulator YABBY 4-like isoform X1 [Glycine max];,IPR006780,NA
Glyma.01G029400,Gm01,3168999-3170837,DNA-directed RNA polymerase subunit 10-like protein-like isoform X4 [Glycine max],IPR000268;IPR009057;IPR023580,GO:0003677;GO:0003899;GO:0008270
Glyma.01G029500,Gm01,3176683-3181502,E3 ubiquitin-protein ligase BOI-like isoform X5 [Glycine max]; ,IPR013083;IPR017066,GO:0005515;GO:0008270
Glyma.01G029600,Gm01,3182957-3186606,eukaryotic translation initiation factor 3 subunit I,IPR015943;IPR020472;IPR027525,GO:0003743;GO:0005515;GO:0005737;GO:0005852
Glyma.01G029701,Gm01,3187645-3189588,Unknown protein,NA,NA
Glyma.01G029800,Gm01,3194558-3197881,ADP-ribosylation factor 1,IPR003579;IPR005225;IPR006689;IPR027417,GO:0005525;GO:0005622;GO:0006886;GO:0007264;GO:0015031
Glyma.01G029900,Gm01,3198006-3202935,"unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 6 plant structures; EXPRESSED DURING: petal differentiation and expansion stage, E expanded cotyledon stage, D bilateral stage; Has 23 Blast hits to 23 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 23; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",NA,NA
Glyma.01G030000,Gm01,3206016-3206944,uncharacterized protein LOC100798784 [Glycine max],NA,NA
Glyma.01G030200,Gm01,3212915-3218889,Protein kinase superfamily protein,IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G030300,Gm01,3224233-3225497,protein bfr2-like [Glycine max];,IPR012442,NA
Glyma.01G030400,Gm01,3228926-3233545,AMSH-like ubiquitin thioesterase 2-like [Glycine max];,IPR000555,GO:0005515
Glyma.01G030500,Gm01,3235038-3246330,carbonic anhydrase 2; ,IPR001765,GO:0004089;GO:0008270;GO:0015976
Glyma.01G030600,Gm01,3248443-3252083,"Nucleic acid-binding, OB-fold-like protein;",IPR012340,NA
Glyma.01G030800,Gm01,3254215-3260859,"Nucleic acid-binding, OB-fold-like protein;",IPR012340,NA
Glyma.01G030900,Gm01,3279095-3283355,polygalacturonase non-catalytic protein;,IPR004873,NA
Glyma.01G031033,Gm01,3293291-3293972,"transmembrane protein, putative",NA,NA
Glyma.01G031166,Gm01,3296026-3297818,Unknown protein,NA,NA
Glyma.01G031300,Gm01,3302816-3305724,uncharacterized protein LOC100808883 [Glycine max];,IPR010341,NA
Glyma.01G031400,Gm01,3309591-3319249,RNA-binding protein 25-like isoform X1 [Glycine max],IPR002483;IPR012677,GO:0000166;GO:0003676;GO:0006397
Glyma.01G031500,Gm01,3323477-3327887,aldehyde dehydrogenase family 2 member C4-like [Glycine max]; ,IPR016161,GO:0008152;GO:0016491;GO:0055114
Glyma.01G031700,Gm01,3343744-3347748,spermidine synthase 1;,IPR001045,GO:0003824
Glyma.01G031800,Gm01,3371340-3377467,Potassium transporter family protein; ,IPR003855,GO:0015079;GO:0016020;GO:0071805
Glyma.01G031900,Gm01,3385534-3391330,trehalose phosphate synthase,IPR001830;IPR006379;IPR023214,GO:0003824;GO:0005992;GO:0008152
Glyma.01G032000,Gm01,3406862-3410951,NHL domain-containing protein;,IPR011042,GO:0005515
Glyma.01G032100,Gm01,3417453-3430776,"Adaptor protein complex AP-1, gamma subunit;  ,",IPR013041;IPR016024;IPR017107,GO:0005488;GO:0005794;GO:0006886;GO:0008565;GO:0015031;GO:0016192;GO:0030117;GO:0030131
Glyma.01G032200,Gm01,3436445-3438225,RING/U-box superfamily protein,IPR013083,GO:0005515;GO:0008270
Glyma.01G032300,Gm01,3440067-3442496,TMV resistance protein N-like isoform X2 [Glycine max],NA,NA
Glyma.01G032400,Gm01,3448160-3454965,"disease resistance protein (TIR-NBS-LRR class), putative; domain),",IPR000157;IPR000767;IPR027417,GO:0005515;GO:0006952;GO:0007165;GO:0043531
Glyma.01G032500,Gm01,3458506-3469215,Threonyl-tRNA synthetase; ,IPR002320;IPR012675,GO:0000166;GO:0004812;GO:0004829;GO:0005524;GO:0005737;GO:0006418;GO:0006435;GO:0043039
Glyma.01G032600,Gm01,3471321-3475837,transcription factor EMB1444-like [Glycine max];,IPR025610,NA
Glyma.01G032800,Gm01,3486717-3487323,Unknown protein,NA,NA
Glyma.01G032900,Gm01,3501964-3506166,"disease resistance protein (TIR-NBS-LRR class), putative; domain)",IPR000157;IPR000767;IPR001611;IPR027417,GO:0000166;GO:0005515;GO:0006952;GO:0007165;GO:0017111;GO:0043531
Glyma.01G033000,Gm01,3506167-3508980,Disease resistance protein (TIR-NBS-LRR class) family;,IPR001611,GO:0005515
Glyma.01G033200,Gm01,3534031-3540654,"disease resistance protein (TIR-NBS-LRR class), putative; domain),",IPR000157;IPR000767;IPR001611;IPR027417,GO:0005515;GO:0006952;GO:0007165;GO:0043531
Glyma.01G033300,Gm01,3545984-3552759,"disease resistance protein (TIR-NBS-LRR class), putative; domain),",IPR000157;IPR000767;IPR001611;IPR003591;IPR027417,GO:0005515;GO:0006952;GO:0007165;GO:0043531
Glyma.01G033500,Gm01,3560988-3566439,nodulin MtN21 /EamA-like transporter family protein;,IPR000620,GO:0016020
Glyma.01G033700,Gm01,3573213-3580089,nodulin MtN21 /EamA-like transporter family protein;,IPR000620,GO:0016020
Glyma.01G033800,Gm01,3582176-3588374,nodulin MtN21 /EamA-like transporter family protein;,IPR000620,GO:0016020
Glyma.01G033900,Gm01,3591819-3596109,nodulin MtN21 /EamA-like transporter family protein;,IPR000620,GO:0016020
Glyma.01G034000,Gm01,3599286-3601610,Polyketide cyclase/dehydrase and lipid transport superfamily protein; ,IPR000916;IPR023393,GO:0006952;GO:0009607
Glyma.01G034100,Gm01,3610732-3616026,Protein kinase superfamily protein,IPR011009;IPR013320,GO:0004672;GO:0004674;GO:0005524;GO:0006468
Glyma.01G034200,Gm01,3610771-3618983,Acyl-CoA N-acyltransferases (NAT) superfamily protein;,IPR016181,GO:0008080
Glyma.01G034300,Gm01,3620357-3626071,protein YLS7-like [Glycine max],IPR025846;IPR026057,NA
Glyma.01G034402,Gm01,3628688-3630527,protein YLS7-like [Glycine max],IPR025846;IPR026057,NA
Glyma.01G034600,Gm01,3635122-3637441,protein YLS7-like [Glycine max],IPR025846;IPR026057,NA
Glyma.01G034700,Gm01,3644941-3649202,protein YLS7-like [Glycine max],IPR025846;IPR026057,NA
Glyma.01G034800,Gm01,3651899-3654120,protein YLS7-like [Glycine max];,IPR026057,NA
Glyma.01G034850,Gm01,3657687-3658022,Unknown protein,NA,NA
Glyma.01G034900,Gm01,3660073-3662496,protein YLS7-like [Glycine max],IPR025846;IPR026057,NA
Glyma.01G035000,Gm01,3672848-3677450,nucleobase-ascorbate transporter 7,IPR006043,GO:0005215;GO:0006810;GO:0016020;GO:0055085
Glyma.01G035100,Gm01,3680729-3686208,sterol C4-methyl oxidase 1-2,IPR006694,GO:0005506;GO:0006633;GO:0016491;GO:0055114
Glyma.01G035202,Gm01,3692338-3696846,C-4 methylsterol oxidase,NA,NA
Glyma.01G035300,Gm01,3717762-3719679,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation;,IPR025322,NA
Glyma.01G035400,Gm01,3731866-3735917,disease resistance protein; ,IPR000767;IPR027417,GO:0006952;GO:0043531
Glyma.01G035600,Gm01,3754982-3759596,CYCLIN D1; 1,IPR015451,GO:0005634;GO:0007049
Glyma.01G035700,Gm01,3777269-3781072,"RNA recognition motif, a.k.a. RRM, RBD protein;",IPR012677,GO:0000166
Glyma.01G035800,Gm01,3793977-3795707,disease resistance protein; ,IPR000767;IPR027417,GO:0006952;GO:0043531
Glyma.01G035901,Gm01,3801314-3801895,disease resistance protein,NA,NA
Glyma.01G036000,Gm01,3809756-3812011,UDP-glycosyltransferase 74 F1;,IPR002213,GO:0008152
Glyma.01G036050,Gm01,3826509-3827045,NB-ARC domain disease resistance protein,NA,NA
Glyma.01G036125,Gm01,3827309-3827851,disease resistance protein,NA,NA
Glyma.01G036200,Gm01,3830588-3850341,RAN GTPase-activating protein 1-like isoform X2 [Glycine max];,IPR003590,NA
Glyma.01G036300,Gm01,3852681-3853465,"transmembrane protein, putative",NA,NA
Glyma.01G036500,Gm01,3860238-3864945,Chaperone DnaJ-domain superfamily protein;,IPR001623,NA
Glyma.01G036550,Gm01,3875079-3875855,Unknown protein,NA,NA
Glyma.01G036600,Gm01,3898841-3900128,"Nucleic acid binding protein, putative n=1 Tax=Ricinus communis RepID=B9SYV7_RICCO",IPR013087,GO:0003676;GO:0046872
Glyma.01G036700,Gm01,3903819-3911443,Sterile alpha motif (SAM) domain-containing protein;,IPR013761,GO:0005515
Glyma.01G036800,Gm01,3953702-3955444,Transducin/WD40 repeat-like superfamily protein;,IPR015943,GO:0005515
Glyma.01G036900,Gm01,3959837-3961513,metalloendoproteinase 1-like [Glycine max],IPR021190;IPR024079,GO:0004222;GO:0006508;GO:0008237;GO:0008270;GO:0031012
Glyma.01G037000,Gm01,3964729-3965770,metalloendoproteinase 1-like [Glycine max];,IPR002477,NA
Glyma.01G037100,Gm01,3969501-3970807,metalloendoproteinase 1-like [Glycine max],IPR021190;IPR024079,GO:0004222;GO:0006508;GO:0008237;GO:0008270;GO:0031012
Glyma.01G037200,Gm01,3983960-3985469,metalloendoproteinase 1-like [Glycine max],IPR021190;IPR024079,GO:0004222;GO:0006508;GO:0008237;GO:0008270;GO:0031012
Glyma.01G037300,Gm01,3995427-4000215,uncharacterized protein LOC100789468 isoform X1 [Glycine max],NA,NA
Glyma.01G037400,Gm01,4007344-4011728,zinc finger MYND domain-containing protein 15-like [Glycine max];,IPR002893,NA
Glyma.01G037500,Gm01,4022221-4023807,response regulator 3,IPR011006,GO:0000156;GO:0000160
Glyma.01G037600,Gm01,4037852-4041157,formin 8;,IPR015425,NA
Glyma.01G037700,Gm01,4041241-4046700,microtubule-associated protein futsch isoform X8 [Glycine max],NA,NA
Glyma.01G037800,Gm01,4047452-4048605,germin-like protein 7,IPR001929,GO:0030145;GO:0045735
Glyma.01G037900,Gm01,4050161-4052093,probable galacturonosyltransferase-like 9-like [Glycine max];,IPR002495,NA
Glyma.01G038002,Gm01,4061974-4068113,"pyruvate dehydrogenase E1 component, alpha subunit;",IPR001017,GO:0008152
Glyma.01G038100,Gm01,4069155-4077822,helicases; ATP-dependent helicases; nucleic acid binding; ATP binding; DNA-directed DNA polymerases; DNA binding,IPR001650;IPR012961;IPR014001;IPR027417,GO:0003676;GO:0004386;GO:0005524;GO:0008026
Glyma.01G038251,Gm01,4079835-4092975,paired amphipathic helix protein Sin3-like 4-like isoform X1 [Glycine max],IPR003822;IPR013194,GO:0005634
Glyma.01G038400,Gm01,4126678-4131544,microtubule-associated protein TORTIFOLIA1-like isoform X2 [Glycine max],IPR016024,GO:0005488;GO:0005515
Glyma.01G038500,Gm01,4150666-4154006,UPF0392 protein RCOM_0530710-like [Glycine max];,IPR008166,NA
Glyma.01G038600,Gm01,4165212-4168337,MYB transcription factor MYB138 [Glycine max],IPR001878;IPR009057,GO:0003676;GO:0003677;GO:0003682;GO:0008270
Glyma.01G038625,Gm01,4177274-4177466,hypothetical protein,NA,NA
Glyma.01G038651,Gm01,4188600-4190447,putative disease resistance protein RGA3-like isoform X1 [Glycine max],NA,NA
Glyma.01G038700,Gm01,4192555-4196168,uncharacterized protein LOC100801656 isoform X1 [Glycine max],NA,NA
Glyma.01G038800,Gm01,4196169-4202317,serine/threonine protein phosphatase 2A;,IPR004843,GO:0016787
Glyma.01G038900,Gm01,4219064-4220382,CLAVATA3/ESR (CLE)-related protein 25-like [Glycine max],NA,NA
